Sl.No,Feature,API,Request Type,Header,Type,Body raw json value
1,Login,http://files.covaiciviltechlab.com/login/,Post,-,Json,"{
    ""username"": ""emp@gmail.com"",
    ""password"": ""123""
}"
2,Logout,http://files.covaiciviltechlab.com/logout/,get,"key: Authorization, value: Token 0f582457ac760cbb578e5dd04017f19dcc1aeacb",,
3,Cutomer Create,https://files.covaiciviltechlab.com/create_customer/,Post,"key: Authorization, value: Token Token  c00455f113c50b7cbd6feb2decab92759b9877e2",Json,"{
    ""user"":""1"",
    ""phone_no"":""9876543210"",
    ""gstin_no"":""101022254541111"",
    ""email"":""v@gmail.com"",
    ""address1"":""RS Puram, Coimbatore"",
    ""city1"":""coimbatore"",
    ""state1"":""Tamilnadu"",
    ""country1"":""India"",
    ""pincode1"":""631027"",
    ""contact_person1"":""cp"",
    ""mobile_no1"":""9123456789"",
    ""contact_person_email1"":""c@gmail.com"",
    ""code"":""5"",
    ""place_of_testing"":""cbe"",
    ""address2"":""anna nagar"",
    ""city2"":""chennai"",
    ""state2"":""Tamilnadu"",
    ""country2"":""India"",
    ""pincode2"":""9876543201"",
    ""contact_person2"":""cpp"",
    ""mobile_no2"":""9543216789"",
    ""contact_person_email2"":""p@gmail.com""
}"
,Cutomer List,https://files.covaiciviltechlab.com/customer_list/,Get,,,
,Cutomer Edit,https://files.covaiciviltechlab.com/edit_customer/10/,Put,,Json,"{
    ""phone_no"":""9876541111""
}"
,Cutomer Delete,https://files.covaiciviltechlab.com/delete_customer/10/,Delete,,,
4,Employee Create,https://files.covaiciviltechlab.com/create_employee/,Post,"key: Authorization, value: Token Token c00455f113c50b7cbd6feb2decab92759b9877e2",Json,"{
    ""username"":""user@gmail.com"",
    ""password"":""12345"",
    ""employee_name"":""Empolyee1"",
    ""login_name"":""admin1"",
    ""address"":""saibaba colony"",
    ""mobile_number"":""9876543210"",
    ""phone_number"":""9123456780"",
    ""email"":""user1@gmail.com"",
    ""dob"":""2023-11-22"",
    ""gender"":""M"",
    ""qualification"":""MBA"",
    ""joining_date"":""2023-12-11"",
    ""salary"":""45000"",
    ""Signature"": 
}"
,Employee List,https://files.covaiciviltechlab.com/employee_list/,Get,,,
,Employee Edit,https://files.covaiciviltechlab.com/edit_employee/12/,Put,,,"{
    ""username"":""user@gmail.com"",
    ""password"":""12345"",
    ""employee_name"":""Empolyee1"",
    ""login_name"":""admin1"",
    ""address"":""saibaba colony"",
    ""mobile_number"":""9876543210"",
    ""phone_number"":""9123456780"",
    ""email"":""user1@gmail.com"",
    ""dob"":""2023-11-22"",
    ""gender"":""M"",
    ""qualification"":""MBA1"",
    ""joining_date"":""2023-12-11"",
    ""salary"":""49000""
}"
,Employee Delete,https://files.covaiciviltechlab.com/delete_employee/12/,Delete,,,
5,Tax Create,https://files.covaiciviltechlab.com/create_tax/,Post,"key: Authorization, value: Token Token c00455f113c50b7cbd6feb2decab92759b9877e2",Json,"{
    ""tax_name"":""Sample tax"",
    ""tax_percentage"":""18"",
    ""tax_status"":""E""
}"
,Tax List,https://files.covaiciviltechlab.com/tax_list/,Get,,,
,Tax Update,https://files.covaiciviltechlab.com/edit_tax/1/,Put,,,
,Tax Delete,https://files.covaiciviltechlab.com/delete_tax/1/,Delete,,,
6,Material Create,https://files.covaiciviltechlab.com/create_material/,Post,"key: Authorization, value: Token Token  c00455f113c50b7cbd6feb2decab92759b9877e2",Json,"{
    ""material_name"":""Tiles""
}"
,Material List,https://files.covaiciviltechlab.com/material_list/,Get,,,
,Material Update,https://files.covaiciviltechlab.com/edit_material/2/,Put,,,
,Material Delete,https://files.covaiciviltechlab.com/delete_material/2/,Delete,,,
7,Report Templates Create,https://files.covaiciviltechlab.com/create_report_template/,Get/Post,"key: Authorization, value: Token Token  c00455f113c50b7cbd6feb2decab92759b9877e2",Json,"{
    ""material"": 8,
    ""report_template_name"": ""General_report"",
    ""template"": ""Example content"",
    ""print_format"":1,
    ""letter_pad_logo"": 1
}"
,Report Templates List,https://files.covaiciviltechlab.com/report_template_list/,Get,,,
,Report Templates Update,https://files.covaiciviltechlab.com/edit_report_template/1/,Get/Put,,,
,Report Templates Delete,https://files.covaiciviltechlab.com/delete_report_template/1/,Delete,,,
8,Test Create,https://files.covaiciviltechlab.com/create_test/,Get/Post,"key: Authorization, value: Token Token c00455f113c50b7cbd6feb2decab92759b9877e2",Json,"{
    ""material_name"":3,
    ""test_name"":""Soundness"",
    ""price_per_piece"":1111

}"
,Test List,https://files.covaiciviltechlab.com/test_list/,Get,,,
,Test Update,https://files.covaiciviltechlab.com/edit_test/4/,Get/Put,,,
,Test Delete,https://files.covaiciviltechlab.com/delete_test/4/,Delete,,,
9,Expense Create,https://files.covaiciviltechlab.com/create_expense/,Post,"key: Authorization, value: Token Token c00455f113c50b7cbd6feb2decab92759b9877e2",Json,"{
    ""expense_name"":""Salary""
}"
,Expense List,https://files.covaiciviltechlab.com/expense_list/,Get,,,
,Expense Edit,https://files.covaiciviltechlab.com/edit_expense/8/,Put,,Json,"{
    ""expense_name"":""Salary""
}"
